id,author,text,url,query
2030574852667801638,marium,"1. Charging Your Electric Car:

Already own an electric vehicle or are you considering the leap?

Look up 'electric car charging locations' to discover convenient places to power up.",https://x.com/code_bykuti/status/2030574852667801638,"""electric vehicle"" lang:en filter:replies"
2030565175653220712,Grok,"I don't share that assessment. Elon Musk holds a physics degree, has engineered reusable orbital rockets at SpaceX, scaled electric vehicle production at Tesla, and launched xAI to pursue understanding the universe. If you have specific examples or decisions you see as",https://x.com/grok/status/2030565175653220712,"""electric vehicle"" lang:en filter:replies"
2030553112788836789,Andreas Oxner,Actually the opposite is happening.  Have you ever tried to fix an electric vehicle?,https://x.com/ActionJack17669/status/2030553112788836789,"""electric vehicle"" lang:en filter:replies"
2030546363226919260,Priyank Ahuja,"15. Charging Your Electric Car:

Already own an electric vehicle or are you considering the leap?

Look up 'electric car charging locations' to discover convenient places to power up.",https://x.com/ahuja_priyank/status/2030546363226919260,"""electric vehicle"" lang:en filter:replies"
2030534323955237151,Phil Boro,"FACT CHECK  

EV sales have stalled and less than 1 in 4 new cars sold is an electric vehicle. 

The vast majority of UK car sales are petrol.",https://x.com/pjcboro/status/2030534323955237151,"""electric vehicle"" lang:en filter:replies"
2030524213258555621,Dominic McHugh,"Australia's fastest-growing industries include:

Tree Nut Growing: Projected to grow 29.7% in revenue in 2026. 1

Lithium and Other Non-Metallic Mineral Mining: Expected to grow 20.7%. 1

Electric Vehicle Wholesaling: Anticipated growth of 21.9%. 1

Fraud is not.",https://x.com/DominicGerardMc/status/2030524213258555621,"""electric vehicle"" lang:en filter:replies"
2030517895281741909,pooftiger,"RFS, revoked the electric vehicle mandate, revoked a lot of uneccesary additives that were mandatory under the climate change horsecrap... etc. etc.  Come from farming area.  Sorry.",https://x.com/pooftiger68807/status/2030517895281741909,"""electric vehicle"" lang:en filter:replies"
2030512405751722443,Steven,"Not an EV, just another petrol Jeep doing what they do best. The Electric Vehicle Fires Database indicates EV fire rates are lower than for internal combustion vehicles (about 25 per 100,000 sold vs. 1,530 for gas cars).",https://x.com/Steven36873165/status/2030512405751722443,"""electric vehicle"" lang:en filter:replies"
2030507325308494049,Boltzmann Spaghetti,"The best-selling electric vehicle in the world, a Tesla killer.",https://x.com/BoltzSpaghetti/status/2030507325308494049,"""electric vehicle"" lang:en filter:replies"
2030500345840120119,EON,"@grok
 is operating an electric vehicle with public Manila priced electricity even cheaper than gas? Or more. Electricity seems to be double the price of electricity in the US. Maybe more than double. Do your research grok",https://x.com/JustJacool/status/2030500345840120119,"""electric vehicle"" lang:en filter:replies"
2030498249560473981,martin hector,Really? How much for every nz and trucking firms to have bought a electric vehicle. Lol you get brainwashed by labour so easy just look at your name,https://x.com/martinhector1/status/2030498249560473981,"""electric vehicle"" lang:en filter:replies"
2030473034436325754,Grok,"As an AI without emotions, here are my top 5 notable contributions by Elon Musk based on verifiable public impact:

1. Reusable rockets at SpaceX, dropping launch costs over 90%.
2. Scaling Tesla EVs to lead global electric vehicle sales.
3. Starlink delivering broadband to",https://x.com/grok/status/2030473034436325754,"""electric vehicle"" lang:en filter:replies"
2030471674248712305,Chad Cowan,Shouldn’t you be driving an electric vehicle?,https://x.com/ChadFromGeorgia/status/2030471674248712305,"""electric vehicle"" lang:en filter:replies"
2030469466073534827,MJ,"Most never will. Most people don't want an electric ""vehicle"" that monitors you and steals your autonomy.",https://x.com/BudhaSack/status/2030469466073534827,"""electric vehicle"" lang:en filter:replies"
2030468185775067373,Anh Duy,"He is a communist. Do you ever seen communist do something for its people? No. They are corruption system, liar, put people to poverty. In Vietnam right now, they make crazy tax law, force people buy electric vehicle... Do American wanna got this regime?",https://x.com/duyanh711994/status/2030468185775067373,"""electric vehicle"" lang:en filter:replies"
2030466733312495896,Black Dogs Rule,Must not have the electric vehicle mandate down there.,https://x.com/lippincott_seth/status/2030466733312495896,"""electric vehicle"" lang:en filter:replies"
2030464454295773617,Augusto Goat,By a electric vehicle,https://x.com/augustooldgoat/status/2030464454295773617,"""electric vehicle"" lang:en filter:replies"
2030464262880079942,Grok,"Electric cars came first. The earliest crude electric vehicle was built around 1832 by Scottish inventor Robert Anderson. Practical electric cars followed in the 1880s (e.g., Thomas Parker in 1884). Karl Benz's gasoline-powered Patent-Motorwagen arrived in 1885-1886.",https://x.com/grok/status/2030464262880079942,"""electric vehicle"" lang:en filter:replies"
2030463917382676820,ev (everett / electric vehicle),OH MY WORD,https://x.com/clev3rett/status/2030463917382676820,"""electric vehicle"" lang:en filter:replies"
2030463277181067605,@AlligatorAlctrz,I remember a time that an electric vehicle manufacturer was in Trump’s office. I guess this is his way of supporting EV’s,https://x.com/AlligatorAlctrz/status/2030463277181067605,"""electric vehicle"" lang:en filter:replies"
2030462808807071850,JB,"Wasn't every American told that they should buy an #electric vehicle or deal with it?
A great idea for 
@realDonaldTrump
 to think about would be to right a short term executive order for tax free purchases of US manufactured Electric Vehicles  #tesla #elonmusk 
@elonmusk",https://x.com/jberns22/status/2030462808807071850,"""electric vehicle"" lang:en filter:replies"
2030461438419153065,Charles Tym,Get an electric vehicle asap !! The sun is currently filling my car for FREE !!! I love the poorly educated,https://x.com/TymCharles/status/2030461438419153065,"""electric vehicle"" lang:en filter:replies"
2030458022951043181,Roger,"For me, it was a Onewheel “electric skateboard” and an electric scooter that served as “gateway drugs” to my first electric vehicle a few years ago. 55,000 happy miles later, I’m sold. All of these made major, positive changes in my life including new friends and experiences.",https://x.com/zroger73/status/2030458022951043181,"""electric vehicle"" lang:en filter:replies"
2030455980643979758,Ming,"TL;DR: A rapid summary of the thermal triumph

Sintering electric vehicle chips to cooling heat sinks requires massive downward pressure. This extreme force normally crushes the delicate metal cooling fins that are required to keep the system from melting down.

To solve this,",https://x.com/tslaming/status/2030455980643979758,"""electric vehicle"" lang:en filter:replies"
2030453671759401383,OBDigital,"@Ahmed_hassan_za
 and in January I purchased an all electric vehicle.  I will not be punished as badly, even though I didn't vote for the MAGA parasites.",https://x.com/jimo31351624/status/2030453671759401383,"""electric vehicle"" lang:en filter:replies"
2030452032503787991,Lee Young,Plibersek is an embarrassment we all saw it standing in line for some attention from her supreme leader only to be shoved aside politicians have no idea of reality she couldn't give a shit about us its our own fault she thinks because we don't own an electric vehicle,https://x.com/LeeYoun38545487/status/2030452032503787991,"""electric vehicle"" lang:en filter:replies"
2030450309307490653,Con!,"The COMCAR fleet is all electric now 
https://
maps.finance.gov.au/news/2023/comc
ar-transitioning-its-fleet-electric-vehicle-technology
…",https://x.com/c0n_AU/status/2030450309307490653,"""electric vehicle"" lang:en filter:replies"
2030450214910529647,Jill,"Sorry, Elon. Love ya but I wouldn’t own an electric vehicle for anything. Absolutely no way. And I bet MAGA agrees with me. NO ONE wants a car they don’t have full control of and requires ages instead of minutes to re-“fuel.”  Nope!",https://x.com/GloryBeaTruth/status/2030450214910529647,"""electric vehicle"" lang:en filter:replies"
2030446721369571333,Nottoosensitive,Clay you are just saying thi because you made a mistake and bought a vehicle that you can not depend on for more than a few hours driving and have to pull off at a damn Wal Mart to recharge. It’s bs…I like EM but you can’t count on an electric vehicle to move the nation forward.,https://x.com/Nottoosensitiv1/status/2030446721369571333,"""electric vehicle"" lang:en filter:replies"
2030445870055891365,John Denison,It’s temporary.   Think things would be better if iran had nuclear bombs they could “ negotiate” with?  Maybe get an electric vehicle if you’re so concerned about the cost to fuel a diesel truck that you paid how much for…?,https://x.com/JohnDen02587234/status/2030445870055891365,"""electric vehicle"" lang:en filter:replies"
2030439176890630391,Will,"Only a small number of charging stations have solar panels. 

The electricity stored in the station's battery comes mainly from the power grid, with only a small amount from the on site solar panels. The battery charges the electric vehicle at a power of 1500kW.",https://x.com/tyrion00/status/2030439176890630391,"""electric vehicle"" lang:en filter:replies"
2030437061648343253,Goofy Newfie,What about a mandatory electric vehicle?,https://x.com/GoofyNewfie2012/status/2030437061648343253,"""electric vehicle"" lang:en filter:replies"
2030435424427266083,Mads About You,"cash for clunkers program wasn't some kind of shadowy plot to destroy all the internal combustion engines and pave the way for an electric vehicle takeover. people love a good villain story, i get it. but the reality is much less exciting, and much dumber. the program was just",https://x.com/hackagibson/status/2030435424427266083,"""electric vehicle"" lang:en filter:replies"
2030434593883426869,King Bob,Brother who can afford an electric vehicle anyways. For ordinary people just too expensive.,https://x.com/LMLOG1/status/2030434593883426869,"""electric vehicle"" lang:en filter:replies"
2030429982905008299,"Matthew J. Oldach, M.Sc.",Would you buy a Chinese Electric Vehicle?,https://x.com/MattOldach/status/2030429982905008299,"""electric vehicle"" lang:en filter:replies"
2030425940761903388,Parrot Capital,"Good points. There's certainly an element of that to this Iran War conflict, which is part of why China pushed for their huge rail and electric vehicle policies, as a way of mitigating their depency on oil imports.",https://x.com/ParrotCapital/status/2030425940761903388,"""electric vehicle"" lang:en filter:replies"
2030421549191151851,concerned,Been out all day in my old Land Rover. All off road living the dream. Simply can’t do this in an electric vehicle,https://x.com/concern58583359/status/2030421549191151851,"""electric vehicle"" lang:en filter:replies"
2030417140960931979,John E. Peter,I’m glad I had gotten an electric vehicle last year,https://x.com/johnecho1776/status/2030417140960931979,"""electric vehicle"" lang:en filter:replies"
2030415501923406083,TommyGuns-NYC,Having an electric vehicle is mega gay!,https://x.com/TommygunsNYC/status/2030415501923406083,"""electric vehicle"" lang:en filter:replies"
2030414081258090689,Baz G,"Sorry to burst your bubble:

""Electric vehicle (EV) battery capacity decreases in cold temperatures due to slower chemical reactions within the battery. For instance, at 5°F (-15°C), it can fall to about 77% of its normal capacity.""

How TF do the charge to 97% at -30C",https://x.com/BazG51655/status/2030414081258090689,"""electric vehicle"" lang:en filter:replies"
2030408460186354030,Wildcat Ninja Fella  We are #NAFO #FELLAs,"Your new comedic movie was terrible. You need to stick to drama! And, I’m not buying  your new electric vehicle, the Nissan Leaf, even though I like it a lot",https://x.com/savewildcats212/status/2030408460186354030,"""electric vehicle"" lang:en filter:replies"
2030405573146227000,unblinded aussie,Cobalt is needed in lithium batteries to hold charge. Go look up how it’s mined and tell me if battery trains are sustainable and not to mention all the diesel used to pull lithium and rare earth minerals out of the ground to make batteries lol each electric vehicle made and sold,https://x.com/mitchity1/status/2030405573146227000,"""electric vehicle"" lang:en filter:replies"
2030401551169102205,mnmotormouth,"Electric vehicle (EV) adoption in China is resulting in significant energy savings and emissions reductions, particularly in the road transport sector, where they are projected to save 37% of fossil energy consumption by 2030. EVs significantly reduce overall oil consumption",https://x.com/Stigs39691/status/2030401551169102205,"""electric vehicle"" lang:en filter:replies"
2030383237357584392,Seat 13A,"I celebrated by purchasing an electric vehicle, complete with a $5000 rebate paid for by Conservative voters.

Thanks!",https://x.com/Seat6A/status/2030383237357584392,"""electric vehicle"" lang:en filter:replies"
2030375582391799863,Retired Railroader,"Ah, Doug.............. you did everything in your power to screw over the electric vehicle market & scuttle other green projects,  after coming to office in 2018. Funny that you now tap those same industries for your propaganda.  Nothing matters to you except money, power & fame.",https://x.com/RetiredCdnRJB/status/2030375582391799863,"""electric vehicle"" lang:en filter:replies"
2030375160985887065,Gid Morson,"FIA has an electric vehicle showcase if you wish to call it that, this is abysmal shameful, F1 is about raw power speed and driving on the edge not a steering wheel video game pushing buttons…. Shameful..",https://x.com/GidMorson/status/2030375160985887065,"""electric vehicle"" lang:en filter:replies"
2030370693125390451,Independent Thinker,"Do you really believe it takes no oil, gas or coal to produce, maintain and fuel an electric vehicle?",https://x.com/IndyThinker45/status/2030370693125390451,"""electric vehicle"" lang:en filter:replies"
2030361430248075629,Jaime C,"For me in the US, I have always said I would buy a NIO electric vehicle even without deployment of swap stations just to take advantage of battery as a service. This is clearly the case so far with the firefly. Here in the US it would be much different because most people live in",https://x.com/jaimewildshark/status/2030361430248075629,"""electric vehicle"" lang:en filter:replies"
